code,name,level
1011001001,Pesticide and Agrichemical Manufacturer,Activity
10110010,Agricultural Inputs,Industry
1011001002,Anhydrous Ammonia Manufacturer,Activity
1011001003,Agricultural Input Distributor,Activity
1011001004,Fertilizer Manufacturer,Activity
1011001005,Nitric Acid Manufacturer,Activity
1012001001,Lime and Plaster Manufacturer,Activity
10120010,Building Materials,Industry
1012001002,Concrete Products for Construction Manufacturer,Activity
1012001003,Ready mix Concrete Manufacturer,Activity
1012001004,Building Materials Distributor,Activity
1012001005,Glass Manufacturer,Activity
1012001006,Cement Manufacturer,Activity
1012001099,Other Building Materials Manufacturer,Activity
1013001001,Basic Chemicals Distributor,Activity
10130010,Chemicals,Industry
1013001002,Organic Basic Chemicals Manufacturer,Activity
1013001003,Soda Ash Manufacturer,Activity
1013001004,Chlorine Manufacturer,Activity
1013001099,Other Chemical Products Manufacturer,Activity
1013002001,Specialty Chemicals Distributor,Activity
10130020,Specialty Chemicals,Industry
1013002002,Explosives Manufacturer,Activity
1013002003,Glue and Adhesives Manufacturer,Activity
1013002004,Coatings Manufacturer,Activity
1013002005,"Enzymes, Nutritional Ingredients, and Catalyzers Manufacturer",Activity
1013002006,Industrial Gases Manufacturer,Activity
1013002007,Primary Rubber Manufacturer,Activity
1013002008,Hydrogen Manufacturer,Activity
1013002009,Carbon Black Manufacturer,Activity
1013002010,Primary Plastic Manufacturer,Activity
1013002011,Biogas and Biofuel Manufacturer,Activity
1014001001,Lumber Production,Activity
10140010,Lumber & Wood Production,Industry
1014001002,Wood Product Manufacturer,Activity
1014001003,Lumber Distributor,Activity
1014001004,Veneer Sheets Manufacturer,Activity
1014001005,Afforestation,Activity
1014001006,Forestry Rehabilitation and Restoration,Activity
1014001007,Existing Forest Management,Activity
1014001008,Forest Conservation,Activity
1014001009,Wetlands Restoration,Activity
1014002001,Paper Manufacturer,Activity
10140020,Paper & Paper Products,Industry
1014002002,Pulp Manufacturer,Activity
1014002003,Pulp or Paper Distributor,Activity
1015001001,Aluminum Manufacturer,Activity
10150010,Aluminum,Industry
1015001002,Aluminum Distributor,Activity
1015002001,Copper Mining,Activity
10150020,Copper,Industry
1015002002,Copper Distributor,Activity
1015002003,Royalties from Copper Mines,Activity
1015003001,Industrial Metal Mining,Activity
10150030,Other Industrial Metals & Mining,Industry
1015003002,Royalties from Industrial Metal Mines,Activity
1015003003,Industrial Metal Distributor,Activity
1015003099,Other Mining and Quarrying Support Activities,Activity
1015004001,Gold Mining,Activity
10150040,Gold,Industry
1015004002,Royalties from Gold Mines,Activity
1015005001,Silver Mining,Activity
10150050,Silver,Industry
1015005002,Royalties from Silver Mines,Activity
1015006001,Precious Metal Production,Activity
10150060,Other Precious Metals & Mining,Industry
1015006002,Royalties from Precious Metal Mines,Activity
1016001001,Coking Coal Mining,Activity
10160010,Coking Coal,Industry
1016002001,Iron Mining,Activity
10160020,Steel,Industry
1016002002,Royalties from Iron Mines,Activity
1016002003,Iron and Steel Manufacturer,Activity
1016002004,Iron and Steel Distributor,Activity
1020001001,Automotive Dealer,Activity
10200010,Auto & Truck Dealerships,Industry
1020001002,Automotive Service Center,Activity
1020002001,Automotive Engine Manufacturer,Activity
10200020,Auto Manufacturers,Industry
1020002002,Motorcycle Manufacturer,Activity
1020002003,Passenger Car and Commercial Vehicle Manufacturer,Activity
1020002004,Low Carbon Technology Light Duty Vehicle Manufacturer,Activity
1020003001,Tire Manufacturer,Activity
10200030,Auto Parts,Industry
1020003002,Automotive Parts and Accessories Retailer,Activity
1020003003,Automotive Parts Manufacturer,Activity
1020003004,Automotive Batteries Manufacturer,Activity
1020004001,Snowmobile Manufacturer,Activity
10200040,Recreational Vehicles,Industry
1020004002,Marine Vehicle Manufacturer,Activity
